Calibration,Detector,Clock,Dataset,w,F1,ADD,Seed
Cal. B,EDDM + ARF,1,SPY->PFF,500,0.0,,2
Cal. B,ADWIN + ARF,1,SPY->PFF,500,1.0,9.0,2
Cal. B,PHT + ARF,32,SPY->PFF,500,0.0,,2
Cal. B,EDDM + ARF,32,SPY->PFF,500,0.0,,2
Cal. B,ADWIN + ARF,32,SPY->PFF,500,1.0,31.0,2
Cal. B,SRP + PHT,1,SPY->PFF,500,0.0,,2
Cal. B,SRP + PHT,32,SPY->PFF,500,0.0,,2
Cal. B,KSWIN + ARF,1,SPY->PFF,500,1.0,14.0,2
Cal. B,KSWIN + ARF,32,SPY->PFF,500,1.0,14.0,2
Cal. B,PHT + RF (Static),1,SPY->PFF,500,1.0,16.0,2
Cal. B,ADWIN + RF (Static),1,SPY->PFF,500,1.0,9.0,2
IID,PHT + HT,1,SPY->PFF,500,1.0,16.0,3
IID,EDDM + HT,1,SPY->PFF,500,1.0,31.0,3
IID,ADWIN + HT,1,SPY->PFF,500,1.0,9.0,3
IID,PHT + ARF,1,SPY->PFF,500,0.0,,3
IID,EDDM + ARF,1,SPY->PFF,500,0.0,,3
IID,ADWIN + ARF,1,SPY->PFF,500,1.0,9.0,3
IID,PHT + ARF,32,SPY->PFF,500,1.0,18.0,3
IID,EDDM + ARF,32,SPY->PFF,500,0.0,,3
IID,ADWIN + ARF,32,SPY->PFF,500,1.0,31.0,3
IID,SRP + PHT,1,SPY->PFF,500,0.0,,3
IID,SRP + PHT,32,SPY->PFF,500,0.0,,3
IID,KSWIN + ARF,1,SPY->PFF,500,1.0,14.0,3
IID,KSWIN + ARF,32,SPY->PFF,500,1.0,14.0,3
IID,PHT + RF (Static),1,SPY->PFF,500,1.0,16.0,3
IID,ADWIN + RF (Static),1,SPY->PFF,500,1.0,9.0,3
Cal. A,PHT + HT,1,SPY->PFF,500,1.0,16.0,3
Cal. A,EDDM + HT,1,SPY->PFF,500,1.0,31.0,3
Cal. A,ADWIN + HT,1,SPY->PFF,500,1.0,9.0,3
Cal. A,PHT + ARF,1,SPY->PFF,500,0.0,,3
Cal. A,EDDM + ARF,1,SPY->PFF,500,0.0,,3
Cal. A,ADWIN + ARF,1,SPY->PFF,500,1.0,9.0,3
Cal. A,PHT + ARF,32,SPY->PFF,500,0.0,,3
Cal. A,EDDM + ARF,32,SPY->PFF,500,0.0,,3
Cal. A,ADWIN + ARF,32,SPY->PFF,500,1.0,31.0,3
Cal. A,SRP + PHT,1,SPY->PFF,500,0.0,,3
Cal. A,SRP + PHT,32,SPY->PFF,500,0.0,,3
Cal. A,KSWIN + ARF,1,SPY->PFF,500,1.0,14.0,3
Cal. A,KSWIN + ARF,32,SPY->PFF,500,1.0,14.0,3
Cal. A,PHT + RF (Static),1,SPY->PFF,500,1.0,16.0,3
Cal. A,ADWIN + RF (Static),1,SPY->PFF,500,1.0,9.0,3
Cal. B,PHT + HT,1,SPY->PFF,500,1.0,16.0,3
Cal. B,EDDM + HT,1,SPY->PFF,500,1.0,31.0,3
Cal. B,ADWIN + HT,1,SPY->PFF,500,1.0,9.0,3
Cal. B,PHT + ARF,1,SPY->PFF,500,0.0,,3
Cal. B,EDDM + ARF,1,SPY->PFF,500,0.0,,3
Cal. B,ADWIN + ARF,1,SPY->PFF,500,1.0,9.0,3
Cal. B,PHT + ARF,32,SPY->PFF,500,0.0,,3
Cal. B,EDDM + ARF,32,SPY->PFF,500,0.0,,3
Cal. B,ADWIN + ARF,32,SPY->PFF,500,1.0,31.0,3
Cal. B,SRP + PHT,1,SPY->PFF,500,0.0,,3
Cal. B,SRP + PHT,32,SPY->PFF,500,0.0,,3
Cal. B,KSWIN + ARF,1,SPY->PFF,500,1.0,14.0,3
Cal. B,KSWIN + ARF,32,SPY->PFF,500,1.0,14.0,3
Cal. B,PHT + RF (Static),1,SPY->PFF,500,1.0,16.0,3
Cal. B,ADWIN + RF (Static),1,SPY->PFF,500,1.0,9.0,3
IID,PHT + HT,1,SPY->PFF,500,1.0,16.0,4
IID,EDDM + HT,1,SPY->PFF,500,1.0,31.0,4
IID,ADWIN + HT,1,SPY->PFF,500,1.0,9.0,4
IID,PHT + ARF,1,SPY->PFF,500,0.0,,4
IID,EDDM + ARF,1,SPY->PFF,500,0.0,,4
IID,ADWIN + ARF,1,SPY->PFF,500,1.0,9.0,4
IID,PHT + ARF,32,SPY->PFF,500,0.0,,4
IID,EDDM + ARF,32,SPY->PFF,500,0.0,,4
IID,ADWIN + ARF,32,SPY->PFF,500,1.0,31.0,4
IID,SRP + PHT,1,SPY->PFF,500,0.0,,4
IID,SRP + PHT,32,SPY->PFF,500,0.0,,4
IID,KSWIN + ARF,1,SPY->PFF,500,1.0,14.0,4
IID,KSWIN + ARF,32,SPY->PFF,500,1.0,14.0,4
IID,PHT + RF (Static),1,SPY->PFF,500,1.0,16.0,4
IID,ADWIN + RF (Static),1,SPY->PFF,500,1.0,9.0,4
Cal. A,PHT + HT,1,SPY->PFF,500,1.0,16.0,4
Cal. A,EDDM + HT,1,SPY->PFF,500,1.0,31.0,4
Cal. A,ADWIN + HT,1,SPY->PFF,500,1.0,9.0,4
Cal. A,PHT + ARF,1,SPY->PFF,500,0.0,,4
Cal. A,EDDM + ARF,1,SPY->PFF,500,0.0,,4
Cal. A,ADWIN + ARF,1,SPY->PFF,500,1.0,9.0,4
Cal. A,PHT + ARF,32,SPY->PFF,500,1.0,29.0,4
Cal. A,EDDM + ARF,32,SPY->PFF,500,0.0,,4
Cal. A,ADWIN + ARF,32,SPY->PFF,500,1.0,31.0,4
Cal. A,SRP + PHT,1,SPY->PFF,500,0.0,,4
Cal. A,SRP + PHT,32,SPY->PFF,500,0.0,,4
Cal. A,KSWIN + ARF,1,SPY->PFF,500,1.0,14.0,4
Cal. A,KSWIN + ARF,32,SPY->PFF,500,1.0,14.0,4
Cal. A,PHT + RF (Static),1,SPY->PFF,500,1.0,16.0,4
Cal. A,ADWIN + RF (Static),1,SPY->PFF,500,1.0,9.0,4
Cal. B,PHT + HT,1,SPY->PFF,500,1.0,16.0,4
Cal. B,EDDM + HT,1,SPY->PFF,500,1.0,31.0,4
Cal. B,ADWIN + HT,1,SPY->PFF,500,1.0,9.0,4
Cal. B,PHT + ARF,1,SPY->PFF,500,0.0,,4
Cal. B,EDDM + ARF,1,SPY->PFF,500,0.0,,4
Cal. B,ADWIN + ARF,1,SPY->PFF,500,1.0,9.0,4
Cal. B,PHT + ARF,32,SPY->PFF,500,1.0,29.0,4
Cal. B,EDDM + ARF,32,SPY->PFF,500,0.0,,4
Cal. B,ADWIN + ARF,32,SPY->PFF,500,1.0,31.0,4
Cal. B,SRP + PHT,1,SPY->PFF,500,0.0,,4
Cal. B,SRP + PHT,32,SPY->PFF,500,0.0,,4
Cal. B,KSWIN + ARF,1,SPY->PFF,500,1.0,14.0,4
Cal. B,KSWIN + ARF,32,SPY->PFF,500,1.0,14.0,4
Cal. B,PHT + RF (Static),1,SPY->PFF,500,1.0,16.0,4
Cal. B,ADWIN + RF (Static),1,SPY->PFF,500,1.0,9.0,4
IID,PHT + HT,1,SPY->PFF,500,1.0,16.0,5
IID,EDDM + HT,1,SPY->PFF,500,1.0,31.0,5
IID,ADWIN + HT,1,SPY->PFF,500,1.0,9.0,5
IID,PHT + ARF,1,SPY->PFF,500,0.0,,5
IID,EDDM + ARF,1,SPY->PFF,500,0.0,,5
IID,ADWIN + ARF,1,SPY->PFF,500,1.0,9.0,5
IID,PHT + ARF,32,SPY->PFF,500,0.0,,5
IID,EDDM + ARF,32,SPY->PFF,500,0.0,,5
IID,ADWIN + ARF,32,SPY->PFF,500,1.0,31.0,5
IID,SRP + PHT,1,SPY->PFF,500,0.0,,5
IID,SRP + PHT,32,SPY->PFF,500,0.0,,5
IID,KSWIN + ARF,1,SPY->PFF,500,1.0,14.0,5
IID,KSWIN + ARF,32,SPY->PFF,500,1.0,14.0,5
IID,PHT + RF (Static),1,SPY->PFF,500,1.0,16.0,5
IID,ADWIN + RF (Static),1,SPY->PFF,500,1.0,9.0,5
Cal. A,PHT + HT,1,SPY->PFF,500,1.0,16.0,5
Cal. A,EDDM + HT,1,SPY->PFF,500,1.0,31.0,5
Cal. A,ADWIN + HT,1,SPY->PFF,500,1.0,9.0,5
Cal. A,PHT + ARF,1,SPY->PFF,500,0.0,,5
Cal. A,EDDM + ARF,1,SPY->PFF,500,0.0,,5
Cal. A,ADWIN + ARF,1,SPY->PFF,500,1.0,9.0,5
Cal. A,PHT + ARF,32,SPY->PFF,500,0.0,,5
Cal. A,EDDM + ARF,32,SPY->PFF,500,0.0,,5
Cal. A,ADWIN + ARF,32,SPY->PFF,500,1.0,31.0,5
Cal. A,SRP + PHT,1,SPY->PFF,500,0.0,,5
Cal. A,SRP + PHT,32,SPY->PFF,500,0.0,,5
Cal. A,KSWIN + ARF,1,SPY->PFF,500,1.0,14.0,5
Cal. A,KSWIN + ARF,32,SPY->PFF,500,1.0,14.0,5
Cal. A,PHT + RF (Static),1,SPY->PFF,500,1.0,16.0,5
Cal. A,ADWIN + RF (Static),1,SPY->PFF,500,1.0,9.0,5
Cal. B,PHT + HT,1,SPY->PFF,500,1.0,16.0,5
Cal. B,EDDM + HT,1,SPY->PFF,500,1.0,31.0,5
Cal. B,ADWIN + HT,1,SPY->PFF,500,1.0,9.0,5
Cal. B,PHT + ARF,1,SPY->PFF,500,0.0,,5
Cal. B,EDDM + ARF,1,SPY->PFF,500,0.0,,5
Cal. B,ADWIN + ARF,1,SPY->PFF,500,1.0,9.0,5
Cal. B,PHT + ARF,32,SPY->PFF,500,0.0,,5
Cal. B,EDDM + ARF,32,SPY->PFF,500,0.0,,5
Cal. B,ADWIN + ARF,32,SPY->PFF,500,1.0,31.0,5
Cal. B,SRP + PHT,1,SPY->PFF,500,0.0,,5
Cal. B,SRP + PHT,32,SPY->PFF,500,0.0,,5
Cal. B,KSWIN + ARF,1,SPY->PFF,500,1.0,14.0,5
Cal. B,KSWIN + ARF,32,SPY->PFF,500,1.0,14.0,5
Cal. B,PHT + RF (Static),1,SPY->PFF,500,1.0,16.0,5
Cal. B,ADWIN + RF (Static),1,SPY->PFF,500,1.0,9.0,5
IID,PHT + HT,1,SPY->PFF,500,1.0,16.0,6
IID,EDDM + HT,1,SPY->PFF,500,1.0,31.0,6
IID,ADWIN + HT,1,SPY->PFF,500,1.0,9.0,6
IID,PHT + ARF,1,SPY->PFF,500,0.0,,6
IID,EDDM + ARF,1,SPY->PFF,500,0.0,,6
IID,ADWIN + ARF,1,SPY->PFF,500,1.0,9.0,6
IID,PHT + ARF,32,SPY->PFF,500,1.0,22.0,6
IID,EDDM + ARF,32,SPY->PFF,500,0.0,,6
IID,ADWIN + ARF,32,SPY->PFF,500,1.0,31.0,6
IID,SRP + PHT,1,SPY->PFF,500,0.0,,6
IID,SRP + PHT,32,SPY->PFF,500,0.0,,6
IID,KSWIN + ARF,1,SPY->PFF,500,1.0,14.0,6
IID,KSWIN + ARF,32,SPY->PFF,500,1.0,14.0,6
IID,PHT + RF (Static),1,SPY->PFF,500,1.0,16.0,6
IID,ADWIN + RF (Static),1,SPY->PFF,500,1.0,9.0,6
Cal. A,PHT + HT,1,SPY->PFF,500,1.0,16.0,6
Cal. A,EDDM + HT,1,SPY->PFF,500,1.0,31.0,6
Cal. A,ADWIN + HT,1,SPY->PFF,500,1.0,9.0,6
Cal. A,PHT + ARF,1,SPY->PFF,500,0.0,,6
Cal. A,EDDM + ARF,1,SPY->PFF,500,0.0,,6
Cal. A,ADWIN + ARF,1,SPY->PFF,500,1.0,9.0,6
Cal. A,PHT + ARF,32,SPY->PFF,500,1.0,22.0,6
Cal. A,EDDM + ARF,32,SPY->PFF,500,0.0,,6
Cal. A,ADWIN + ARF,32,SPY->PFF,500,1.0,31.0,6
Cal. A,SRP + PHT,1,SPY->PFF,500,0.0,,6
Cal. A,SRP + PHT,32,SPY->PFF,500,0.0,,6
Cal. A,KSWIN + ARF,1,SPY->PFF,500,1.0,14.0,6
Cal. A,KSWIN + ARF,32,SPY->PFF,500,1.0,14.0,6
Cal. A,PHT + RF (Static),1,SPY->PFF,500,1.0,16.0,6
Cal. A,ADWIN + RF (Static),1,SPY->PFF,500,1.0,9.0,6
Cal. B,PHT + HT,1,SPY->PFF,500,1.0,16.0,6
Cal. B,EDDM + HT,1,SPY->PFF,500,1.0,31.0,6
Cal. B,ADWIN + HT,1,SPY->PFF,500,1.0,9.0,6
Cal. B,PHT + ARF,1,SPY->PFF,500,0.0,,6
Cal. B,EDDM + ARF,1,SPY->PFF,500,0.0,,6
Cal. B,ADWIN + ARF,1,SPY->PFF,500,1.0,9.0,6
Cal. B,PHT + ARF,32,SPY->PFF,500,1.0,25.0,6
Cal. B,EDDM + ARF,32,SPY->PFF,500,0.0,,6
Cal. B,ADWIN + ARF,32,SPY->PFF,500,1.0,31.0,6
Cal. B,SRP + PHT,1,SPY->PFF,500,0.0,,6
Cal. B,SRP + PHT,32,SPY->PFF,500,0.0,,6
