Calibration,Detector,Clock,Dataset,w,Seed,lambda,lambda_role,ADD,F1,precision,recall,TP,FP,FN,n_detections
Cal. A,PHT + ARF,1,BWX->PFF,500,9,5.0,grid,6.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,10,5.0,grid,6.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,11,5.0,grid,6.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,12,5.0,grid,6.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,13,5.0,grid,6.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,14,5.0,grid,6.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,15,5.0,grid,6.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,16,5.0,grid,6.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,17,5.0,grid,6.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,18,5.0,grid,6.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,19,5.0,grid,6.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,20,5.0,grid,6.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,21,5.0,grid,6.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,22,5.0,grid,6.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,23,5.0,grid,6.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,24,5.0,grid,6.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,25,5.0,grid,6.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,26,5.0,grid,6.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,27,5.0,grid,6.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,28,5.0,grid,6.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,29,5.0,grid,6.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,30,5.0,grid,6.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,1,8.0,grid,9.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,2,8.0,grid,9.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,3,8.0,grid,9.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,4,8.0,grid,9.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,5,8.0,grid,9.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,6,8.0,grid,9.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,7,8.0,grid,9.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,8,8.0,grid,9.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,9,8.0,grid,9.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,10,8.0,grid,9.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,11,8.0,grid,9.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,12,8.0,grid,9.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,13,8.0,grid,9.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,14,8.0,grid,9.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,15,8.0,grid,9.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,16,8.0,grid,9.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,17,8.0,grid,9.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,18,8.0,grid,9.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,19,8.0,grid,9.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,20,8.0,grid,9.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,21,8.0,grid,9.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,22,8.0,grid,9.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,23,8.0,grid,9.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,24,8.0,grid,9.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,25,8.0,grid,9.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,26,8.0,grid,9.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,27,8.0,grid,9.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,28,8.0,grid,9.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,29,8.0,grid,9.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,30,8.0,grid,9.0,1.0,1.0,1.0,1,0,0,1
Cal. A,PHT + ARF,1,BWX->PFF,500,1,15.0,lambda_ref,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,2,15.0,lambda_ref,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,3,15.0,lambda_ref,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,4,15.0,lambda_ref,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,5,15.0,lambda_ref,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,6,15.0,lambda_ref,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,7,15.0,lambda_ref,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,8,15.0,lambda_ref,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,9,15.0,lambda_ref,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,10,15.0,lambda_ref,,0.0,0.0,0.0,0,0,1,0
