variant,seed,pipeline,n_total,warmup_steps,span_lo,span_hi,span_len,span_over_warmup,p_true_warmup,p_true_span,lambda_eq_warm_emp,lambda_eq_span_emp,lambda_eq_span_arl,theta_star_span,arl_note,arl_emp_ratio,arl_concordant,fa_of_warm_lambda_over_span,verdict_warm,verdict_span,bound_span,attained_fa_span
abrupt_balanced,76953952,pht_arf_c1,52847,5284,5284,14352,9068,1.7161241483724452,0.3238077214231643,0.2642258491398324,52.190890461206436,49.49202138185501,31.157845268779905,0.05103013679401163,,1.5884288837985183,True,1,OK,OK,,1
abrupt_balanced,110020020,pht_arf_c1,52847,5284,5284,14352,9068,1.7161241483724452,0.33516275548826646,0.2616894574327305,63.9382229745388,42.74348795413971,31.03944336326307,0.05134076622537892,,1.3770700541856054,True,1,OK,OK,,1
abrupt_balanced,168388230,pht_arf_c1,52847,5284,5284,14352,9068,1.7161241483724452,0.332891748675246,0.25540361711513015,50.977908074855804,121.89077827334404,30.739047245720787,0.052142211133949,,3.9653401518588893,False,2,OK,OK,,1
abrupt_balanced,176092387,pht_arf_c1,52847,5284,5284,14352,9068,1.7161241483724452,0.3255109765329296,0.2574988972209969,42.55210843682289,56.38856944441795,30.840290207264587,0.051869934195004304,,1.8284059282663734,True,2,OK,OK,,1
abrupt_balanced,176623029,pht_arf_c1,52847,5284,5284,14352,9068,1.7161241483724452,0.33535200605601817,0.2627922364358183,48.11801192164421,85.65891334414482,31.09111944721193,0.05120483192125448,,2.7550926073787996,False,3,OK,OK,,1
abrupt_balanced,232150720,pht_arf_c1,52847,5284,5284,14352,9068,1.7161241483724452,0.3296744890234671,0.26268195853550946,52.74584496021271,56.85862335562706,31.08596549932956,0.051218364234049324,,1.829076962620104,True,2,OK,OK,,1
abrupt_balanced,233227757,pht_arf_c1,52847,5284,5284,14352,9068,1.7161241483724452,0.3298637395912188,0.2657697397441553,33.166332840919495,84.16306284070015,31.2291335163662,0.0508445203173643,,2.695017548168378,False,4,OK,OK,,1
abrupt_balanced,398083709,pht_arf_c1,52847,5284,5284,14352,9068,1.7161241483724452,0.3330809992429977,0.2656594618438465,40.66732728481293,71.35201177001,31.224061054061707,0.05085769294673048,,2.2851611661426836,False,4,OK,OK,,1
abrupt_balanced,536987301,pht_arf_c1,52847,5284,5284,14352,9068,1.7161241483724452,0.323996971990916,0.275363917071019,32.70313462615013,74.83043748140335,31.65905236074417,0.049747081318429774,,2.363634786939795,False,4,OK,OK,,1
abrupt_balanced,569531098,pht_arf_c1,52847,5284,5284,14352,9068,1.7161241483724452,0.33989401968205907,0.27492280546978387,64.10446989536285,64.56665685772896,31.63977508713118,0.04979549694781981,,2.040680020004001,False,2,OK,OK,,1
abrupt_balanced,570914454,pht_arf_c1,52847,5284,5284,14352,9068,1.7161241483724452,0.3186979560938683,0.2560652845169828,51.91397088766098,125.34433907270432,30.77113946845972,0.05205566355418852,,4.073438333383192,False,3,OK,OK,,1
abrupt_balanced,592703045,pht_arf_c1,52847,5284,5284,14352,9068,1.7161241483724452,0.33364875094625285,0.2674239082487869,56.815585643053055,43.37113365530968,31.304860632356146,0.050648495373154905,,1.3854440741538407,True,1,OK,OK,,1
