eta,delta_e,n,mean_e_pre_oracle,mean_delta_e_measured,sd_delta_e_measured,se,theta,delta_e_predicted,deviation,deviation_in_se,within_tolerance
0.0,0.028186,100,0.0,0.027835000000000002,0.0026667187494913837,0.0002666718749491384,0.08854893053408186,0.028185999999999985,-0.00035099999999998327,-1.3162242927452645,True
0.0,0.085449,100,0.0,0.08465249999999999,0.0041398981041966855,0.00041398981041966857,0.26844595065659416,0.08544899999999997,-0.0007964999999999778,-1.9239603969782544,True
0.0,0.140949,100,0.0,0.1395725,0.00551218748398363,0.000551218748398363,0.4428043429308277,0.140949,-0.0013765000000000027,-2.4971937257206878,True
0.0,0.193621,100,0.0,0.192835,0.00603182008479643,0.0006031820084796429,0.6082783111807093,0.193621,-0.0007859999999999812,-1.3030892648491657,True
0.0,0.242568,100,0.0,0.24187750000000002,0.006996436232075221,0.0006996436232075221,0.7620498467959691,0.24256800000000006,-0.0006905000000000383,-0.9869310275914976,True
0.0,0.287108,100,0.0,0.2867925,0.007728019905943995,0.0007728019905943995,0.9019763835868582,0.287108,-0.0003154999999999686,-0.4082546419908963,True
0.0,0.326793,100,0.0,0.325965,0.008028281763914869,0.0008028281763914869,1.0266504880445693,0.326793,-0.0008279999999999954,-1.0313539364321387,True
0.0,0.361418,100,0.0,0.3606775,0.008063377037099556,0.0008063377037099556,1.135428133675116,0.361418,-0.0007405000000000328,-0.918349714509189,True
0.0,0.390998,100,0.0,0.39049,0.00788401720398475,0.0007884017203984749,1.228356444368302,0.390998,-0.0005080000000000084,-0.6443415670671729,True
0.0,0.415743,100,0.0,0.41516,0.007991513807113954,0.0007991513807113955,1.3060951545813815,0.41574300000000003,-0.0005830000000000557,-0.7295238600239616,True
0.0,0.436013,100,0.0,0.4359475,0.008107258797029986,0.0008107258797029986,1.3697752376696464,0.436013,-6.549999999999612e-05,-0.080791796141985,True
0.0,0.452271,100,0.0,0.45234250000000004,0.007822014307598957,0.0007822014307598957,1.420851251031709,0.4522709999999999,7.150000000011314e-05,0.09140867964234235,True
0.0,0.46504,100,0.0,0.464935,0.007586256512851901,0.0007586256512851901,1.4609662476253975,0.46504000000000006,-0.00010500000000007725,-0.13840818567391758,True
0.0,0.47486,100,0.0,0.474895,0.007779325423223026,0.0007779325423223026,1.4918166874836492,0.47486,3.500000000000725e-05,0.04499104754703335,True
0.0,0.482255,100,0.0,0.48225999999999997,0.007611869386396202,0.0007611869386396202,1.515048765156946,0.4822550000000001,4.9999999998662226e-06,0.006568688644082798,True
0.0,0.487707,100,0.0,0.487815,0.007608194346369005,0.0007608194346369005,1.532176728304317,0.48770699999999995,0.0001080000000000525,0.14195220979284695,True
0.0,0.491644,100,0.0,0.491675,0.007738750388516069,0.0007738750388516069,1.5445451785815,0.49164399999999997,3.100000000000325e-05,0.04005814691478581,True
0.0,0.494428,100,0.0,0.4945425,0.007669717360759755,0.0007669717360759755,1.5532913725290944,0.4944280000000001,0.00011449999999990634,0.14928842174252438,True
0.0,0.496355,100,0.0,0.496475,0.007763917122877401,0.0007763917122877402,1.5593452215725616,0.49635499999999994,0.0001200000000000645,0.15456115527878156,True
0.0,0.497661,100,0.0,0.497795,0.0077349870880645535,0.0007734987088064553,1.5634481415781503,0.4976610000000001,0.00013399999999991197,0.17323881536490246,True
0.05,0.028186,100,0.050054999999999995,0.02781,0.005626093608617733,0.0005626093608617733,0.09838770059342439,0.028186000000000017,-0.0003760000000000152,-0.6683145111984621,True
0.05,0.085449,100,0.050054999999999995,0.08472000000000002,0.006669060176393945,0.0006669060176393945,0.298273278507327,0.08544900000000002,-0.0007290000000000074,-1.093107545468555,True
0.05,0.140949,100,0.050054999999999995,0.13974999999999999,0.0075561032926831475,0.0007556103292683147,0.4920048254786975,0.14094900000000002,-0.0011990000000000334,-1.5867967304802055,True
0.05,0.193621,100,0.050054999999999995,0.19277,0.007578101758529377,0.0007578101758529377,0.6758647902007882,0.19362100000000002,-0.0008510000000000184,-1.1229725162270259,True
0.05,0.242568,100,0.050054999999999995,0.242255,0.008518694534120621,0.0008518694534120621,0.846722051995521,0.24256799999999998,-0.00031299999999997996,-0.3674271905704513,True
0.05,0.287108,100,0.050054999999999995,0.2869525,0.008986289711431422,0.0008986289711431422,1.0021959817631758,0.287108,-0.0001554999999999751,-0.17304138303282632,True
0.05,0.326793,100,0.050054999999999995,0.32652000000000003,0.009093140382739175,0.0009093140382739175,1.140722764493966,0.326793,-0.0002729999999999677,-0.3002263118231223,True
0.05,0.361418,100,0.050054999999999995,0.3612225,0.008536012171258838,0.0008536012171258837,1.2615868151945735,0.36141800000000013,-0.00019550000000012613,-0.22902966406067696,True
0.05,0.390998,100,0.050054999999999995,0.39103499999999997,0.009011988367914954,0.0009011988367914954,1.364840493742558,0.39099800000000007,3.6999999999898225e-05,0.04105642227815999,True
0.05,0.415743,100,0.050054999999999995,0.4157475,0.008758004635875696,0.0008758004635875695,1.4512168384237567,0.4157429999999999,4.500000000073889e-06,0.005138156677424439,True
0.05,0.436013,100,0.050054999999999995,0.43628500000000003,0.008629218336031884,0.0008629218336031884,1.5219724862996071,0.436013,0.00027200000000005,0.31520815606703984,True
0.05,0.452271,100,0.050054999999999995,0.45264499999999996,0.00873054691843242,0.0008730546918432419,1.5787236122574546,0.452271,0.00037399999999998546,0.4283809519543108,True
0.05,0.46504,100,0.050054999999999995,0.4654375,0.008776286273679525,0.0008776286273679525,1.623295830694886,0.46503999999999995,0.0003975000000000506,0.45292506147181055,True
0.05,0.47486,100,0.050054999999999995,0.47513500000000003,0.008926355540326806,0.0008926355540326806,1.6575740972040545,0.47486,0.0002750000000000252,0.30807645825628527,True
0.05,0.482255,100,0.050054999999999995,0.4823475,0.008972805083172478,0.0008972805083172478,1.6833875168410506,0.48225499999999993,9.250000000005087e-05,0.10308927826095832,True
0.05,0.487707,100,0.050054999999999995,0.4879475,0.008816686357886024,0.0008816686357886024,1.702418587004797,0.487707,0.00024049999999997684,0.2727782187520636,True
0.05,0.491644,100,0.050054999999999995,0.491835,0.008827558146411873,0.0008827558146411873,1.7161613095350003,0.491644,0.00019099999999999673,0.21636787527435575,True
0.05,0.494428,100,0.050054999999999995,0.494475,0.008919922939831116,0.0008919922939831116,1.725879302810105,0.4944280000000001,4.6999999999908226e-05,0.05269103815912348,True
0.05,0.496355,100,0.050054999999999995,0.49645249999999996,0.008796571229975944,0.0008796571229975944,1.7326058017472912,0.4963550000000001,9.749999999986159e-05,0.11083864093274468,True
0.05,0.497661,100,0.050054999999999995,0.49786,0.008800418952378002,0.0008800418952378002,1.7371646017535003,0.4976610000000001,0.00019899999999994922,0.22612559819800002,True
