arm,delta_e,n,p0_hat_median,s_max_median,s_max_q05,s_max_q95,cross_rate_lambda15,cross_rate_lambda50,delta_p,window
full,0.1,5,0.024,19.384,15.635,34.263,1.0,0.0,0.01,2500
full,0.25,5,0.024,27.788,27.01,38.368,1.0,0.0,0.01,2500
full,0.4,5,0.024,28.36,25.015,33.253,1.0,0.0,0.01,2500
no_swap,0.1,5,0.024,18.456,15.635,34.263,1.0,0.0,0.01,2500
no_swap,0.25,5,0.024,37.482,27.546,49.515,1.0,0.2,0.01,2500
no_swap,0.4,5,0.024,34.972,27.584,50.894,1.0,0.2,0.01,2500
frozen,0.1,5,0.024,36.57,15.635,59.998,1.0,0.4,0.01,2500
frozen,0.25,5,0.024,320.08,208.667,471.58,1.0,1.0,0.01,2500
frozen,0.4,5,0.024,758.036,642.747,855.522,1.0,1.0,0.01,2500
