delta_e,n,p0_hat_median,s_max_median,s_max_q05,s_max_q95,cross_rate_lambda15,cross_rate_lambda50,delta_p,window,arm
0.095,300,0.023,20.073,11.053,32.759,0.757,0.0,0.01,2500,full
0.105,300,0.023,22.888,11.682,38.315,0.84,0.0,0.01,2500,full
0.115,300,0.023,24.806,13.998,38.94,0.927,0.0,0.01,2500,full
0.125,300,0.023,26.712,16.126,40.432,0.963,0.003,0.01,2500,full
0.135,300,0.023,28.311,16.752,42.327,0.97,0.007,0.01,2500,full
0.145,300,0.023,30.083,17.983,44.179,0.977,0.013,0.01,2500,full
