delta_e,lambda,mu,W_mean_censored_at_horizon,censoring_fraction,bound_deterministic_W,bound_plugin,bound_parametric,gap_plugin_over_deterministic,vacant_deterministic,vacant_plugin,vacant_parametric
0.487707,25.0,0.477707,429.4,0.0,1.0,1.0,0.9995741200951004,1.0,True,True,False
0.487707,50.0,0.477707,429.4,0.0,1.0,1.0,0.9916849804589931,1.0,True,True,False
0.491644,8.0,0.481644,407.3,0.0,1.0,1.0,0.9999993407740015,1.0,True,True,False
0.491644,15.0,0.481644,407.3,0.0,1.0,1.0,0.9999654541650017,1.0,True,True,False
0.491644,25.0,0.481644,407.3,0.0,1.0,1.0,0.9995642381928806,1.0,True,True,False
0.491644,50.0,0.481644,407.3,0.0,1.0,1.0,0.9914989019905043,1.0,True,True,False
0.494428,8.0,0.484428,276.5,0.0,1.0,1.0,0.9999993291132333,1.0,True,True,False
0.494428,15.0,0.484428,276.5,0.0,1.0,1.0,0.9999651716051778,1.0,True,True,False
0.494428,25.0,0.484428,276.5,0.0,1.0,1.0,0.9995501004943095,1.0,True,True,False
0.494428,50.0,0.484428,276.5,0.0,1.0,1.0,0.9914411845545616,1.0,True,True,False
0.496355,8.0,0.486355,232.1,0.0,1.0,1.0,0.9999993072268322,1.0,True,True,False
0.496355,15.0,0.486355,232.1,0.0,1.0,1.0,0.9999646709649519,1.0,True,True,False
0.496355,25.0,0.486355,232.1,0.0,1.0,1.0,0.999542636079114,1.0,True,True,False
0.496355,50.0,0.486355,232.1,0.0,1.0,1.0,0.9913931968649311,1.0,True,True,False
0.497661,8.0,0.487661,231.4,0.0,1.0,1.0,0.99999928998581,1.0,True,True,False
0.497661,15.0,0.487661,231.4,0.0,1.0,1.0,0.9999639187351148,1.0,True,True,False
0.497661,25.0,0.487661,231.4,0.0,1.0,1.0,0.999539245655624,1.0,True,True,False
0.497661,50.0,0.487661,231.4,0.0,1.0,1.0,0.9912996745531342,1.0,True,True,False
