arm,delta_e,n,p0_hat,p1_hat,n_errors_pre,detection_rate,warm_start_complete_at_tau,pre_drift_alarm_rate,median_tau_det,level_tests_zero,median_level_tests,median_min_level,max_update_share
frozen,0.287108,100,0.024,0.26,24.0,0.98,0.05,0.02,28.5,0.0,616.0,0.19258468483754962,3.5
frozen,0.326793,100,0.024,0.3,24.0,0.98,0.05,0.02,24.0,0.0,729.0,0.17368101269566322,3.5
frozen,0.361418,100,0.024,0.335,24.0,0.98,0.05,0.02,21.0,0.0,819.0,0.15957259763561005,3.5
frozen,0.390998,100,0.024,0.37,24.0,0.98,0.05,0.02,19.5,0.0,900.0,0.15294648085104487,3.5
frozen,0.415743,100,0.024,0.3975,24.0,0.98,0.05,0.02,18.0,0.0,971.0,0.14738870153147637,3.5
frozen,0.436013,100,0.024,0.42,24.0,0.98,0.05,0.02,17.0,0.0,1028.5,0.14005462017249132,3.5
frozen,0.452271,100,0.024,0.44,24.0,0.98,0.05,0.02,17.0,0.0,1077.0,0.13711968675292288,3.5
frozen,0.46504,100,0.024,0.45,24.0,0.98,0.05,0.02,16.0,0.0,1107.0,0.13296307246821343,3.5
frozen,0.47486,100,0.024,0.46,24.0,0.98,0.05,0.02,16.0,0.0,1138.0,0.13101298406359194,3.5
frozen,0.482255,100,0.024,0.465,24.0,0.98,0.05,0.02,15.0,0.0,1153.0,0.12975210428718786,3.5
frozen,0.487707,100,0.024,0.475,24.0,0.98,0.05,0.02,15.0,0.0,1168.0,0.12991186899929494,3.5
frozen,0.491644,100,0.024,0.475,24.0,0.98,0.05,0.02,15.0,0.0,1180.0,0.129385374417096,3.5
frozen,0.494428,100,0.024,0.48,24.0,0.98,0.05,0.02,15.0,0.0,1185.0,0.12898777958627936,3.5
frozen,0.496355,100,0.024,0.485,24.0,0.98,0.05,0.02,14.5,0.0,1190.5,0.12880504475743243,3.5
frozen,0.497661,100,0.024,0.485,24.0,0.98,0.05,0.02,14.5,0.0,1194.0,0.12866140647121577,3.5
static,0.028186,100,0.033,0.04,33.0,0.39,0.6,0.6,-61.0,0.0,64.5,0.4414089920157046,3.0
static,0.085449,100,0.033,0.07,33.0,0.4,0.6,0.6,-56.5,0.0,79.0,0.38567574896550666,3.0
static,0.140949,100,0.033,0.1125,33.0,0.4,0.6,0.6,-56.5,0.0,98.0,0.33809604749759903,3.0
static,0.193621,100,0.033,0.1575,33.0,0.4,0.6,0.6,-56.5,0.0,124.5,0.29999873422659906,3.0
static,0.242568,100,0.033,0.195,33.0,0.4,0.6,0.6,-56.5,0.0,148.0,0.28193564891897227,3.0
static,0.287108,100,0.033,0.235,33.0,0.4,0.6,0.6,-56.5,0.0,172.5,0.2623268530685948,3.0
static,0.326793,100,0.033,0.275,33.0,0.4,0.6,0.6,-56.5,0.0,192.5,0.24179332302205242,3.0
static,0.361418,100,0.033,0.315,33.0,0.4,0.6,0.6,-56.5,0.0,204.5,0.23566491295694142,3.0
static,0.390998,100,0.033,0.345,33.0,0.4,0.6,0.6,-56.5,0.0,216.0,0.2265998286883103,3.0
static,0.415743,100,0.033,0.37,33.0,0.4,0.6,0.6,-56.5,0.0,222.0,0.22155054614972017,3.0
static,0.436013,100,0.033,0.395,33.0,0.4,0.6,0.6,-56.5,0.0,230.5,0.21493105323634587,3.0
static,0.452271,100,0.033,0.405,33.0,0.4,0.6,0.6,-56.5,0.0,237.0,0.2109697433618623,3.0
static,0.46504,100,0.033,0.42,33.0,0.4,0.6,0.6,-56.5,0.0,241.0,0.2053773118282513,3.0
static,0.47486,100,0.033,0.43,33.0,0.4,0.6,0.6,-56.5,0.0,248.5,0.20181465264830045,3.0
static,0.482255,100,0.033,0.44,33.0,0.4,0.6,0.6,-56.5,0.0,246.5,0.19854957661934278,3.0
static,0.487707,100,0.033,0.45,33.0,0.4,0.6,0.6,-56.5,0.0,245.0,0.19501124814199378,3.0
static,0.491644,100,0.033,0.45,33.0,0.4,0.6,0.6,-56.5,0.0,244.5,0.19417041038869737,3.0
static,0.494428,100,0.033,0.455,33.0,0.4,0.6,0.6,-56.5,0.0,240.0,0.1931499854424633,3.0
static,0.496355,100,0.033,0.46,33.0,0.4,0.6,0.6,-56.5,0.0,240.5,0.1911265091610057,3.0
static,0.497661,100,0.033,0.46,33.0,0.4,0.6,0.6,-56.5,0.0,234.5,0.1898140256883266,3.0
