delta_e,W_estimator,lambda,n,W_mean,mu,mu_W_mean,vacant_at_mean_W,bound_at_mean_W,frac_runs_vacant,bound_plugin
0.242568,tau_err(0.10),50.0,100,626.1,0.232568,145.62,True,1.0,1.0,1.0
0.287108,tau_swap^(1/M),8.0,100,72.0,0.277108,19.94,True,1.0,0.99,0.9901067617312984
0.287108,tau_swap^(1/M),15.0,100,72.0,0.277108,19.94,True,1.0,0.68,0.99
0.287108,tau_swap^(1/M),25.0,100,72.0,0.277108,19.94,False,1.0,0.19,0.7435927577617784
0.287108,tau_swap^(1/M),50.0,100,72.0,0.277108,19.94,False,9.00088087441381e-10,0.02,0.05677863261095394
0.287108,tau_erase (argmax A_unrefl),8.0,100,748.2,0.277108,207.33,True,1.0,1.0,1.0
0.287108,tau_erase (argmax A_unrefl),15.0,100,748.2,0.277108,207.33,True,1.0,1.0,1.0
0.287108,tau_erase (argmax A_unrefl),25.0,100,748.2,0.277108,207.33,True,1.0,1.0,1.0
0.287108,tau_erase (argmax A_unrefl),50.0,100,748.2,0.277108,207.33,True,1.0,0.98,1.0
0.287108,tau_err(0.10),8.0,100,578.4,0.277108,160.28,True,1.0,1.0,1.0
0.287108,tau_err(0.10),15.0,100,578.4,0.277108,160.28,True,1.0,1.0,1.0
0.287108,tau_err(0.10),25.0,100,578.4,0.277108,160.28,True,1.0,1.0,1.0
0.287108,tau_err(0.10),50.0,100,578.4,0.277108,160.28,True,1.0,1.0,1.0
0.326793,tau_swap^(1/M),8.0,100,57.4,0.316793,18.18,True,1.0,1.0,1.0
0.326793,tau_swap^(1/M),15.0,100,57.4,0.316793,18.18,True,1.0,0.66,1.0
0.326793,tau_swap^(1/M),25.0,100,57.4,0.316793,18.18,False,1.0,0.12,0.7182061016732983
0.326793,tau_swap^(1/M),50.0,100,57.4,0.316793,18.18,False,2.6886781729461173e-14,0.0,0.003933305965392908
0.326793,tau_erase (argmax A_unrefl),8.0,100,611.9,0.316793,193.84,True,1.0,1.0,1.0
0.326793,tau_erase (argmax A_unrefl),15.0,100,611.9,0.316793,193.84,True,1.0,1.0,1.0
0.326793,tau_erase (argmax A_unrefl),25.0,100,611.9,0.316793,193.84,True,1.0,1.0,1.0
0.326793,tau_erase (argmax A_unrefl),50.0,100,611.9,0.316793,193.84,True,1.0,0.96,1.0
0.326793,tau_err(0.10),8.0,100,557.0,0.316793,176.45,True,1.0,1.0,1.0
0.326793,tau_err(0.10),15.0,100,557.0,0.316793,176.45,True,1.0,1.0,1.0
0.326793,tau_err(0.10),25.0,100,557.0,0.316793,176.45,True,1.0,1.0,1.0
0.326793,tau_err(0.10),50.0,100,557.0,0.316793,176.45,True,1.0,1.0,1.0
0.361418,tau_swap^(1/M),8.0,100,49.4,0.351418,17.35,True,1.0,1.0,1.0
0.361418,tau_swap^(1/M),15.0,100,49.4,0.351418,17.35,True,1.0,0.64,1.0
0.361418,tau_swap^(1/M),25.0,100,49.4,0.351418,17.35,False,1.0,0.09,0.6409343369014138
0.361418,tau_swap^(1/M),50.0,100,49.4,0.351418,17.35,False,8.667134017874662e-18,0.0,0.020162215692693768
0.361418,tau_erase (argmax A_unrefl),8.0,100,554.2,0.351418,194.77,True,1.0,1.0,1.0
0.361418,tau_erase (argmax A_unrefl),15.0,100,554.2,0.351418,194.77,True,1.0,1.0,1.0
0.361418,tau_erase (argmax A_unrefl),25.0,100,554.2,0.351418,194.77,True,1.0,1.0,1.0
0.361418,tau_erase (argmax A_unrefl),50.0,100,554.2,0.351418,194.77,True,1.0,0.98,1.0
0.361418,tau_err(0.10),8.0,100,533.6,0.351418,187.51,True,1.0,1.0,1.0
0.361418,tau_err(0.10),15.0,100,533.6,0.351418,187.51,True,1.0,1.0,1.0
0.361418,tau_err(0.10),25.0,100,533.6,0.351418,187.51,True,1.0,1.0,1.0
0.361418,tau_err(0.10),50.0,100,533.6,0.351418,187.51,True,1.0,1.0,1.0
0.390998,tau_swap^(1/M),8.0,100,43.9,0.380998,16.73,True,1.0,0.99,1.0
0.390998,tau_swap^(1/M),15.0,100,43.9,0.380998,16.73,True,1.0,0.59,0.9908622744481979
