Calibration,Detector,Clock,Dataset,w,F1,ADD,Seed
Cal. B,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,6
IID,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,7
IID,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,7
IID,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,7
IID,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,7
Cal. A,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,7
Cal. A,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,7
Cal. A,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,7
Cal. A,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,7
Cal. B,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,7
Cal. B,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,7
Cal. B,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,7
Cal. B,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,7
IID,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,8
IID,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,8
IID,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,8
IID,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,8
Cal. A,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,8
Cal. A,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,8
Cal. A,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,8
Cal. A,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,8
Cal. B,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,8
Cal. B,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,8
Cal. B,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,8
Cal. B,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,8
IID,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,9
IID,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,9
IID,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,9
IID,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,9
Cal. A,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,9
Cal. A,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,9
Cal. A,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,9
Cal. A,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,9
Cal. B,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,9
Cal. B,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,9
Cal. B,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,9
Cal. B,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,9
IID,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,10
IID,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,10
IID,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,10
IID,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,10
Cal. A,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,10
Cal. A,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,10
Cal. A,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,10
Cal. A,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,10
Cal. B,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,10
Cal. B,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,10
Cal. B,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,10
Cal. B,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,10
IID,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,11
