eta,delta_e,n,mean_e_pre_oracle,mean_delta_e_measured,sd_delta_e_measured,se,theta,delta_e_predicted,deviation,deviation_in_se,within_tolerance
0.0,0.1,5,0.0,0.10275000000000001,0.005947688626685162,0.002659887215654078,0.3141592653589793,0.1,0.0027500000000000024,1.0338784230457552,True
0.0,0.25,5,0.0,0.25549999999999995,0.006602556323122124,0.0029527529527544273,0.7853981633974483,0.25,0.005499999999999949,1.8626685293361114,True
0.0,0.4,5,0.0,0.40265000000000006,0.0055946402922797305,0.0025019992006393536,1.2566370614359172,0.4,0.002650000000000041,1.0591530162451162,True
0.05,0.1,5,0.05115000000000001,0.10169999999999998,0.008376678936189456,0.003746164705402049,0.34906585039886595,0.10000000000000002,0.0016999999999999654,0.45379745251150577,True
0.05,0.25,5,0.05115000000000001,0.25545,0.00607608015088675,0.0027173056508239903,0.8726646259971647,0.24999999999999997,0.005450000000000038,2.005663219501049,True
0.05,0.4,5,0.05115000000000001,0.40374999999999994,0.00228445836031212,0.0010216408370851216,1.3962634015954638,0.4000000000000001,0.0037499999999998646,3.6705658817428617,False
