scenario,lambda,boundary_shift,delta_e,t,n,cif_arf,cif_arf_lo,cif_arf_hi,cif_det,cif_det_lo,cif_det_hi,unresolved_at_t,detector_fired_ever_frac,detector_won_frac,censored_frac
A,50.0,1.331579,0.3268,200,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
A,50.0,1.331579,0.3268,400,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
A,50.0,1.331579,0.3268,800,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
A,50.0,1.331579,0.3268,1600,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
A,50.0,1.331579,0.3268,4000,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
A,50.0,1.536842,0.3614,25,100,0.05,0.01,0.1,0.0,0.0,0.0,0.95,0.0,0.0,0.0
A,50.0,1.536842,0.3614,50,100,0.62,0.52,0.71,0.0,0.0,0.0,0.38,0.0,0.0,0.0
A,50.0,1.536842,0.3614,100,100,0.99,0.97,1.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
A,50.0,1.536842,0.3614,200,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,1.536842,0.3614,400,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,1.536842,0.3614,800,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,1.536842,0.3614,1600,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,1.536842,0.3614,4000,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,1.742105,0.391,25,100,0.07,0.02,0.12,0.0,0.0,0.0,0.93,0.0,0.0,0.0
A,50.0,1.742105,0.391,50,100,0.76,0.67,0.84,0.0,0.0,0.0,0.24,0.0,0.0,0.0
A,50.0,1.742105,0.391,100,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,1.742105,0.391,200,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,1.742105,0.391,400,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,1.742105,0.391,800,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,1.742105,0.391,1600,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,1.742105,0.391,4000,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,1.947368,0.4157,25,100,0.15,0.08,0.22,0.0,0.0,0.0,0.85,0.0,0.0,0.0
A,50.0,1.947368,0.4157,50,100,0.83,0.75,0.9,0.0,0.0,0.0,0.17,0.0,0.0,0.0
A,50.0,1.947368,0.4157,100,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,1.947368,0.4157,200,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,1.947368,0.4157,400,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,1.947368,0.4157,800,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,1.947368,0.4157,1600,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,1.947368,0.4157,4000,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,2.152632,0.436,25,100,0.18,0.11,0.26,0.0,0.0,0.0,0.82,0.0,0.0,0.0
A,50.0,2.152632,0.436,50,100,0.9,0.84,0.96,0.0,0.0,0.0,0.1,0.0,0.0,0.0
A,50.0,2.152632,0.436,100,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,2.152632,0.436,200,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,2.152632,0.436,400,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,2.152632,0.436,800,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,2.152632,0.436,1600,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,2.152632,0.436,4000,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,2.357895,0.4523,25,100,0.19,0.12,0.27,0.0,0.0,0.0,0.81,0.0,0.0,0.0
