seed,delta_e,tau_arf
3412522237,0.12000000000000001,718
555567425,0.12000000000000001,692
3399977417,0.12000000000000001,22
2903099886,0.12000000000000001,421
151712926,0.12000000000000001,10
1207582415,0.12000000000000001,81
2486821540,0.12000000000000001,735
1259821421,0.12000000000000001,339
597594931,0.12000000000000001,912
2865206418,0.12000000000000001,508
3003750881,0.12000000000000001,693
3312495928,0.12000000000000001,974
3078168926,0.12000000000000001,675
1005097259,0.12000000000000001,725
1646080115,0.12000000000000001,401
2175304393,0.12000000000000001,389
3907648593,0.12000000000000001,619
1971688097,0.12000000000000001,342
268300483,0.12000000000000001,1192
3139098279,0.12000000000000001,655
3174456534,0.12000000000000001,521
997026310,0.12000000000000001,408
4280428995,0.12000000000000001,199
345698675,0.12000000000000001,1506
2296661869,0.12000000000000001,721
1808063307,0.12000000000000001,524
3884888703,0.12000000000000001,523
2494461129,0.12000000000000001,599
3862701690,0.12000000000000001,240
1989052338,0.12000000000000001,640
2910179760,0.12000000000000001,434
1983180500,0.12000000000000001,3
2796940620,0.12000000000000001,712
2835193311,0.12000000000000001,39
1671370085,0.12000000000000001,536
3953588250,0.12000000000000001,190
358542842,0.12000000000000001,532
3497188667,0.12000000000000001,10
253549709,0.12000000000000001,5
1953331372,0.12000000000000001,1049
890775398,0.12000000000000001,461
642810498,0.12000000000000001,635
1233062494,0.12000000000000001,23
908446902,0.12000000000000001,1184
3109591194,0.12000000000000001,155
2446198906,0.12000000000000001,565
3358664237,0.12000000000000001,830
896344283,0.12000000000000001,497
1869944201,0.12000000000000001,831
3190319407,0.12000000000000001,47
987968938,0.12000000000000001,13
48960437,0.12000000000000001,1496
2405484524,0.12000000000000001,397
3763400334,0.12000000000000001,446
4209925572,0.12000000000000001,366
4172993659,0.12000000000000001,594
2147595062,0.12000000000000001,2
3425188374,0.12000000000000001,1107
3309235867,0.12000000000000001,1165
3869940862,0.12000000000000001,1093
3445858407,0.12000000000000001,203
683688611,0.12000000000000001,38
3671515462,0.12000000000000001,1107
3027130951,0.12000000000000001,1147
3369736057,0.12000000000000001,832
1655287705,0.12000000000000001,625
3004971955,0.12000000000000001,201
1256815592,0.12000000000000001,898
267482411,0.12000000000000001,681
2210323869,0.12000000000000001,464
3218958405,0.12000000000000001,32
3163371865,0.12000000000000001,425
1394697297,0.12000000000000001,472
4178031102,0.12000000000000001,590
643453088,0.12000000000000001,45
3249835323,0.12000000000000001,469
349764347,0.12000000000000001,1254
317791015,0.12000000000000001,46
4067508317,0.12000000000000001,431
2385507088,0.12000000000000001,1196
1526028037,0.12000000000000001,756
297824171,0.12000000000000001,547
1353143832,0.12000000000000001,852
1739382006,0.12000000000000001,10
580680804,0.12000000000000001,412
2823014988,0.12000000000000001,642
3517474495,0.12000000000000001,450
1323262800,0.12000000000000001,320
975802718,0.12000000000000001,805
2199045525,0.12000000000000001,169
1193102617,0.12000000000000001,677
884894373,0.12000000000000001,577
3411013638,0.12000000000000001,726
805745625,0.12000000000000001,647
3780170430,0.12000000000000001,554
3127142703,0.12000000000000001,892
2145807442,0.12000000000000001,745
7356014,0.12000000000000001,1290
1854214563,0.12000000000000001,635
3246756741,0.12000000000000001,952
4269520782,0.12000000000000001,683
3093880402,0.12000000000000001,1223
721312908,0.12000000000000001,493
2185234596,0.12000000000000001,1170
1811372632,0.12000000000000001,624
158871473,0.12000000000000001,604
3933942357,0.12000000000000001,889
2247311752,0.12000000000000001,899
2639539135,0.12000000000000001,292
588020478,0.12000000000000001,852
2481404281,0.12000000000000001,120
3605935409,0.12000000000000001,14
1724216363,0.12000000000000001,244
3705963873,0.12000000000000001,914
3077038052,0.12000000000000001,323
3012538924,0.12000000000000001,29
339579960,0.12000000000000001,25
3595527923,0.12000000000000001,304
863450078,0.12000000000000001,1273
1293846983,0.12000000000000001,12
297175216,0.12000000000000001,517
1619853330,0.12000000000000001,317
1315304267,0.12000000000000001,415
3174143715,0.12000000000000001,391
1039824701,0.12000000000000001,927
721441559,0.12000000000000001,967
4105799406,0.12000000000000001,693
1633137197,0.12000000000000001,55
1521883525,0.12000000000000001,2
3988848284,0.12000000000000001,347
2356674901,0.12000000000000001,617
3622559309,0.12000000000000001,426
855568988,0.12000000000000001,3
2610361744,0.12000000000000001,1233
3797455899,0.12000000000000001,239
3701701166,0.12000000000000001,138
1820757617,0.12000000000000001,992
3255375637,0.12000000000000001,298
1973362254,0.12000000000000001,334
817567550,0.12000000000000001,143
3034277235,0.12000000000000001,333
422340604,0.12000000000000001,609
2537213971,0.12000000000000001,70
2777209301,0.12000000000000001,6
3393578195,0.12000000000000001,361
968986378,0.12000000000000001,104
688328363,0.12000000000000001,913
4152859901,0.12000000000000001,1030
1795468969,0.12000000000000001,477
2590496957,0.12000000000000001,18
3299187091,0.12000000000000001,685
1977285233,0.12000000000000001,213
2229299064,0.12000000000000001,681
621973311,0.12000000000000001,413
3137073118,0.12000000000000001,351
1722482046,0.12000000000000001,320
2843863878,0.12000000000000001,283
3220027874,0.12000000000000001,409
2854411774,0.12000000000000001,421
656915034,0.12000000000000001,1089
3284494407,0.12000000000000001,35
1067328885,0.12000000000000001,251
2684470948,0.14,545
4091952314,0.14,1041
233227757,0.14,1508
3276785861,0.14,263
3644269654,0.14,661
1206282609,0.14,279
3543069911,0.14,242
3479688010,0.14,583
877132087,0.14,233
1244265337,0.14,562
2740186692,0.14,30
3884972972,0.14,411
829139639,0.14,179
2545567356,0.14,1030
2718398101,0.14,337
176092387,0.14,416
3528048386,0.14,296
569531098,0.14,402
1337295874,0.14,192
612016888,0.14,310
232150720,0.14,283
2324106676,0.14,523
1658700540,0.14,491
609942288,0.14,383
3405943863,0.14,472
2257503667,0.14,171
4018327298,0.14,424
2224437599,0.14,134
168388230,0.14,382
911875363,0.14,359
3699796293,0.14,567
3195154224,0.14,200
3621210587,0.14,261
1945778437,0.14,241
2384190687,0.14,775
3249086786,0.14,18
439485575,0.14,583
2217192537,0.14,891
3412522237,0.14,206
555567425,0.14,528
3399977417,0.14,22
2903099886,0.14,1086
151712926,0.14,10
1207582415,0.14,367
2486821540,0.14,724
1259821421,0.14,301
597594931,0.14,309
2865206418,0.14,632
3003750881,0.14,279
3312495928,0.14,746
3078168926,0.14,729
1005097259,0.14,419
1646080115,0.14,366
2175304393,0.14,246
3907648593,0.14,508
1971688097,0.14,121
268300483,0.14,316
3139098279,0.14,892
3174456534,0.14,524
997026310,0.14,468
4280428995,0.14,199
345698675,0.14,1382
2296661869,0.14,334
1808063307,0.14,266
3884888703,0.14,528
2494461129,0.14,232
3862701690,0.14,349
1989052338,0.14,790
2910179760,0.14,460
1983180500,0.14,3
2796940620,0.14,624
2835193311,0.14,39
1671370085,0.14,458
3953588250,0.14,166
358542842,0.14,617
3497188667,0.14,10
253549709,0.14,5
1953331372,0.14,288
890775398,0.14,365
642810498,0.14,518
1233062494,0.14,23
908446902,0.14,1038
3109591194,0.14,155
2446198906,0.14,614
3358664237,0.14,198
896344283,0.14,499
1869944201,0.14,664
3190319407,0.14,174
987968938,0.14,13
48960437,0.14,1669
2405484524,0.14,389
3763400334,0.14,137
4209925572,0.14,119
4172993659,0.14,348
2147595062,0.14,2
3425188374,0.14,294
3309235867,0.14,1141
3869940862,0.14,854
3445858407,0.14,218
683688611,0.14,38
3671515462,0.14,1196
3027130951,0.14,1525
3369736057,0.14,248
1655287705,0.14,524
3004971955,0.14,201
1256815592,0.14,1698
267482411,0.14,598
2210323869,0.14,406
3218958405,0.14,40
3163371865,0.14,324
1394697297,0.14,753
4178031102,0.14,580
643453088,0.14,45
3249835323,0.14,333
349764347,0.14,225
317791015,0.14,46
4067508317,0.14,286
2385507088,0.14,1106
1526028037,0.14,1202
297824171,0.14,683
1353143832,0.14,335
1739382006,0.14,10
580680804,0.14,234
2823014988,0.14,433
3517474495,0.14,340
1323262800,0.14,431
975802718,0.14,210
2199045525,0.14,701
1193102617,0.14,677
884894373,0.14,835
3411013638,0.14,534
805745625,0.14,237
3780170430,0.14,531
3127142703,0.14,1092
2145807442,0.14,731
7356014,0.14,618
1854214563,0.14,571
3246756741,0.14,413
4269520782,0.14,280
3093880402,0.14,647
721312908,0.14,622
2185234596,0.14,1572
1811372632,0.14,248
158871473,0.14,164
3933942357,0.14,257
2247311752,0.14,1092
2639539135,0.14,377
588020478,0.14,655
2481404281,0.14,121
3605935409,0.14,14
1724216363,0.14,246
3705963873,0.14,272
3077038052,0.14,254
3012538924,0.14,29
339579960,0.14,45
3595527923,0.14,355
863450078,0.14,332
1293846983,0.14,12
297175216,0.14,211
1619853330,0.14,496
1315304267,0.14,463
3174143715,0.14,292
1039824701,0.14,125
721441559,0.14,933
4105799406,0.14,212
1633137197,0.14,55
1521883525,0.14,2
3988848284,0.14,357
2356674901,0.14,925
3622559309,0.14,527
855568988,0.14,3
2610361744,0.14,258
3797455899,0.14,264
3701701166,0.14,128
1820757617,0.14,525
3255375637,0.14,568
1973362254,0.14,232
817567550,0.14,143
3034277235,0.14,223
422340604,0.14,807
2537213971,0.14,92
2777209301,0.14,6
3393578195,0.14,576
968986378,0.14,129
688328363,0.14,278
4152859901,0.14,1039
1795468969,0.14,401
2590496957,0.14,18
3299187091,0.14,720
1977285233,0.14,200
2229299064,0.14,768
621973311,0.14,314
3137073118,0.14,313
1722482046,0.14,324
2843863878,0.14,232
3220027874,0.14,292
2854411774,0.14,292
656915034,0.14,755
3284494407,0.14,686
1067328885,0.14,317
2684470948,0.16,681
4091952314,0.16,299
233227757,0.16,140
3276785861,0.16,465
3644269654,0.16,154
1206282609,0.16,128
3543069911,0.16,216
3479688010,0.16,128
877132087,0.16,193
1244265337,0.16,1137
2740186692,0.16,140
3884972972,0.16,270
829139639,0.16,178
2545567356,0.16,1067
2718398101,0.16,142
176092387,0.16,458
3528048386,0.16,159
569531098,0.16,390
1337295874,0.16,112
612016888,0.16,306
232150720,0.16,161
2324106676,0.16,562
1658700540,0.16,406
609942288,0.16,226
3405943863,0.16,554
2257503667,0.16,166
4018327298,0.16,415
2224437599,0.16,134
168388230,0.16,262
911875363,0.16,298
3699796293,0.16,333
3195154224,0.16,131
3621210587,0.16,204
1945778437,0.16,231
2384190687,0.16,470
3249086786,0.16,458
439485575,0.16,306
2217192537,0.16,1009
3412522237,0.16,202
555567425,0.16,380
3399977417,0.16,22
2903099886,0.16,88
151712926,0.16,10
1207582415,0.16,633
2486821540,0.16,257
1259821421,0.16,271
597594931,0.16,288
2865206418,0.16,722
3003750881,0.16,258
3312495928,0.16,402
3078168926,0.16,485
1005097259,0.16,273
1646080115,0.16,1130
2175304393,0.16,179
3907648593,0.16,88
1971688097,0.16,90
268300483,0.16,314
3139098279,0.16,676
3174456534,0.16,502
997026310,0.16,269
4280428995,0.16,282
345698675,0.16,546
2296661869,0.16,331
1808063307,0.16,241
3884888703,0.16,474
2494461129,0.16,200
3862701690,0.16,535
1989052338,0.16,707
2910179760,0.16,428
1983180500,0.16,3
2796940620,0.16,627
2835193311,0.16,715
1671370085,0.16,285
3953588250,0.16,166
358542842,0.16,120
3497188667,0.16,10
253549709,0.16,5
1953331372,0.16,160
890775398,0.16,493
642810498,0.16,269
1233062494,0.16,940
908446902,0.16,271
3109591194,0.16,525
2446198906,0.16,603
3358664237,0.16,168
896344283,0.16,481
1869944201,0.16,665
3190319407,0.16,162
987968938,0.16,13
48960437,0.16,338
2405484524,0.16,404
3763400334,0.16,77
4209925572,0.16,101
4172993659,0.16,314
2147595062,0.16,2
3425188374,0.16,266
3309235867,0.16,1327
3869940862,0.16,860
3445858407,0.16,280
683688611,0.16,188
3671515462,0.16,212
3027130951,0.16,1773
3369736057,0.16,202
1655287705,0.16,718
3004971955,0.16,194
1256815592,0.16,121
267482411,0.16,200
2210323869,0.16,315
3218958405,0.16,404
3163371865,0.16,73
1394697297,0.16,798
4178031102,0.16,340
643453088,0.16,45
3249835323,0.16,279
349764347,0.16,225
317791015,0.16,463
4067508317,0.16,108
2385507088,0.16,1229
1526028037,0.16,274
297824171,0.16,620
1353143832,0.16,180
1739382006,0.16,10
580680804,0.16,234
2823014988,0.16,102
3517474495,0.16,247
1323262800,0.16,364
975802718,0.16,202
2199045525,0.16,773
1193102617,0.16,709
884894373,0.16,328
3411013638,0.16,569
805745625,0.16,284
3780170430,0.16,167
3127142703,0.16,422
2145807442,0.16,809
7356014,0.16,639
1854214563,0.16,534
3246756741,0.16,264
4269520782,0.16,176
3093880402,0.16,608
721312908,0.16,798
2185234596,0.16,1013
1811372632,0.16,232
158871473,0.16,164
3933942357,0.16,129
2247311752,0.16,687
2639539135,0.16,429
588020478,0.16,397
2481404281,0.16,135
3605935409,0.16,22
1724216363,0.16,265
3705963873,0.16,232
3077038052,0.16,237
3012538924,0.16,160
339579960,0.16,253
3595527923,0.16,371
863450078,0.16,292
1293846983,0.16,12
297175216,0.16,116
1619853330,0.16,395
1315304267,0.16,692
3174143715,0.16,202
1039824701,0.16,119
721441559,0.16,219
4105799406,0.16,123
1633137197,0.16,263
1521883525,0.16,2
3988848284,0.16,246
2356674901,0.16,880
3622559309,0.16,871
855568988,0.16,3
2610361744,0.16,226
3797455899,0.16,571
3701701166,0.16,89
1820757617,0.16,437
3255375637,0.16,571
1973362254,0.16,192
817567550,0.16,215
3034277235,0.16,333
422340604,0.16,628
2537213971,0.16,86
2777209301,0.16,6
3393578195,0.16,197
968986378,0.16,352
688328363,0.16,262
4152859901,0.16,1332
1795468969,0.16,301
2590496957,0.16,18
3299187091,0.16,515
1977285233,0.16,110
2229299064,0.16,228
621973311,0.16,398
3137073118,0.16,271
1722482046,0.16,273
2843863878,0.16,213
3220027874,0.16,283
2854411774,0.16,191
656915034,0.16,549
3284494407,0.16,127
1067328885,0.16,351
2684470948,0.18,250
4091952314,0.18,354
233227757,0.18,133
3276785861,0.18,212
3644269654,0.18,183
1206282609,0.18,113
3543069911,0.18,217
3479688010,0.18,114
877132087,0.18,169
1244265337,0.18,993
2740186692,0.18,135
3884972972,0.18,139
829139639,0.18,123
2545567356,0.18,840
2718398101,0.18,112
176092387,0.18,763
3528048386,0.18,141
569531098,0.18,142
1337295874,0.18,111
612016888,0.18,295
232150720,0.18,49
2324106676,0.18,188
1658700540,0.18,165
609942288,0.18,53
3405943863,0.18,478
2257503667,0.18,167
4018327298,0.18,88
2224437599,0.18,339
168388230,0.18,219
911875363,0.18,154
3699796293,0.18,153
3195154224,0.18,121
3621210587,0.18,106
1945778437,0.18,174
2384190687,0.18,376
3249086786,0.18,264
439485575,0.18,185
2217192537,0.18,393
3412522237,0.18,189
555567425,0.18,417
3399977417,0.18,22
2903099886,0.18,84
151712926,0.18,10
1207582415,0.18,455
2486821540,0.18,201
1259821421,0.18,292
597594931,0.18,197
2865206418,0.18,560
3003750881,0.18,240
3312495928,0.18,522
3078168926,0.18,282
1005097259,0.18,207
1646080115,0.18,231
2175304393,0.18,173
3907648593,0.18,86
1971688097,0.18,86
268300483,0.18,311
3139098279,0.18,540
3174456534,0.18,134
997026310,0.18,202
4280428995,0.18,130
345698675,0.18,1523
2296661869,0.18,308
1808063307,0.18,92
3884888703,0.18,416
2494461129,0.18,152
3862701690,0.18,662
1989052338,0.18,217
2910179760,0.18,159
1983180500,0.18,3
2796940620,0.18,219
2835193311,0.18,262
1671370085,0.18,254
3953588250,0.18,142
358542842,0.18,99
3497188667,0.18,10
253549709,0.18,5
1953331372,0.18,157
890775398,0.18,508
642810498,0.18,287
1233062494,0.18,435
908446902,0.18,258
3109591194,0.18,326
2446198906,0.18,464
3358664237,0.18,101
896344283,0.18,370
1869944201,0.18,516
3190319407,0.18,136
987968938,0.18,13
48960437,0.18,286
2405484524,0.18,333
3763400334,0.18,81
4209925572,0.18,98
4172993659,0.18,247
2147595062,0.18,2
3425188374,0.18,241
3309235867,0.18,1121
